,hotel_name,avg_price
0,Kamin Bird Hostel,308.625
1,128 Bangkok,1217.5
2,12th Avenue Hotel Bangkok,2539.0408163265306
3,130 Hotel & Residence Bangkok,941.0
4,137 Pillars Residences Bangkok,9627.0
5,137 Pillars Suites Bangkok,26413.75
6,14 Living,749.5
7,14 Place,942.547619047619
8,14 Residence,1129.2727272727273
9,1989 Hostel & Cafe,517.1111111111111
10,1Sabai Hostel,1020.75
11,24 Inn,1545.0
12,2Bedtel,1019.0
13,2W Bed & Breakfast Bangkok,663.5
14,3 Howw Hostel at Sukhumvit 21,2593.777777777778
15,39 Boulevard Executive Residence,2862.782608695652
16,3Howw hostel at Khaosan,172.0
17,41 Suite Bangkok Hotel,1355.0833333333333
18,4J Lodge@Bangkok,828.5116279069767
19,4M Pratunam Hotel,1127.3636363636363
20,5 Minute Hostel,595.0
21,99hotel,792.3333333333334
22,@1150 Villa,1686.5
23,@Ratchada 14,651.1428571428571
24,A Hostel Bangkok,565.2333333333333
25,A House,374.0
26,A One Boutique Hotel,3087.6666666666665
27,A One Inn,785.0
28,A Sleep Bangkok Sathorn,1074.8
29,A-One Bangkok Hotel,4730.575
30,A7 Hidden Hostel,1796.0
31,AETAS Lumpini,8702.636363636364
32,AREA 69 (DonMuang Airport),1353.875
33,ASA HOSTEL,547.8
34,Abloom Exclusive Serviced Apartments,4848.576923076923
35,Ad Lib Bangkok,4374.05
36,Adamaz House,766.35
37,Adelphi Grande Sukhumvit,3109.0
38,Adelphi Suites Bangkok,3499.75
39,Admiral Premier Bangkok by Compass Hospitality,2521.1206896551726
40,Admiral Suites Bangkok by Compass Hospitality,2007.0416666666667
41,Admire Thonburi Hotel,863.5
42,Adventure Hostel,445.19083969465646
43,Aetas Bangkok,5770.173913043478
44,Aetas Residence,5942.970588235294
45,Aim House Bangkok,802.6578947368421
46,Airy Suvarnabhumi Hotel,707.5882352941177
47,Al Meroz Hotel Bangkok- The Leading Halal Hotel,5683.745454545455
48,All Together Suite,523.0
49,Aloft Bangkok Sukhumvit 11,2749.0
