,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_location_rating,hotel_nearby_place_distance,hotel_popular_place_distance,district
0,0,The Bedroom Ladprao 101,"99 Soi Ladprao 101 Ladprao Road Klongchan, Bangkapi Bangkok, Bang Kapi, Bangkok, Thailand, 10240",4.0,6.9,Foodland Lard Prao && 1.27 km ; Imperial World Lard Prao && 2.03 km ; Crystal Design Center && 2.5 km ; Tawanna Plaza && 2.51 km ; N Mark Plaza && 2.52 km ; Major Cineplex Bangkapi && 2.52 km ; Raan Bai Mai && 2.58 km ; Nawamin Phirom Park && 2.63 km ; Wat Klang Pier && 2.68 km ; The Mall Bangkapi && 2.69 km,Terminal 21 Shopping Mall && 9.44 km ; Central World && 10.95 km ; Jim Thompson && 12.31 km ; Wat Saket && 13.95 km ; Yaowarat Road && 14.12 km ; Khao San Road && 14.75 km ; Wat Phra Kaew && 15.6 km ; Grand Palace && 15.63 km ; Wat Pho Temple && 15.63 km ; Asiatique - The Riverfront && 16.63 km,Bang Kapi
1,1,Nasa Vegas Hotel,"44 Sukhumvit 71-Ramkhamhaeng Road, Suanluang (Airport Link - Ramkhamhaeng Station), Ratchadaphisek, Bangkok, Thailand, 10250",3.0,7.8,Klong Tan Pier && 410 m ; Central Plaza Grand Rama 9 && 1.02 km ; Seri Market && 1.08 km ; Rama XI Marsh && 1.29 km ; Chan Issara Pier && 1.45 km ; Phanphirom Park && 1.46 km ; The Mall 3 Pier && 1.46 km ; Emporium Armani && 1.64 km ; Thong Lo Pier && 1.73 km ; Ramkhamhaeng 29 Pier && 1.99 km,Terminal 21 Shopping Mall && 4.52 km ; Central World && 6.77 km ; Jim Thompson && 7.52 km ; Yaowarat Road && 9.96 km ; Wat Saket && 10.35 km ; Khao San Road && 11.36 km ; Asiatique - The Riverfront && 11.48 km ; Wat Pho Temple && 11.79 km ; Wat Phra Kaew && 11.89 km ; Grand Palace && 11.94 km,Ratchadaphisek
2,2,Romance Hotel Bangna,"19 Soi Srinakarin56, Srinakarin Rd., Nongbon, Pravate, Bang Na, Bangkok, Thailand, 10250",3.5,7.3,Paradise Park && 860 m ; Central Plaza Bangna && 1.22 km ; Paradise Park Mall && 1.37 km ; Seacon Square && 2.1 km ; Train Night Market Srinakarin && 2.31 km ; Miss Violet Vintage Shop && 2.36 km ; Rama IX Royal Park && 2.56 km ; Bangkok Patana International School && 2.7 km ; Wat Sri Iam Temple && 2.7 km ; Berkeley International School && 3.21 km,Terminal 21 Shopping Mall && 11.26 km ; Jim Thompson && 13.31 km ; Central World && 13.65 km ; Asiatique - The Riverfront && 15.41 km ; Yaowarat Road && 16.11 km ; Wat Saket && 17.1 km ; Wat Pho Temple && 18.04 km ; Khao San Road && 18.19 km ; Wat Phra Kaew && 18.29 km ; Grand Palace && 18.35 km,Bang Na
3,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,Sukhumvit
4,4,SC Park Hotel,"474 Praditmanutham Road, Wangthonglang, Ratchadaphisek, Bangkok, Thailand, 10310",4.0,7.6,Ramkhamhaeng 29 Pier && 1.41 km ; Wat Thepleela Pier && 1.42 km ; The Mall 3 Pier && 1.53 km ; Rama XI Marsh && 1.54 km ; Ramkhamhaeng University Pier && 1.75 km ; Tadu Contemporary Art && 1.97 km ; Ramkhamhaeng University && 2 km ; Central Plaza Grand Rama 9 && 2.13 km ; The Regent's International School && 2.14 km ; Phanphirom Park && 2.19 km,Terminal 21 Shopping Mall && 5.72 km ; Central World && 7.33 km ; Jim Thompson && 8.61 km ; Wat Saket && 10.55 km ; Yaowarat Road && 10.56 km ; Khao San Road && 11.43 km ; Wat Pho Temple && 12.17 km ; Wat Phra Kaew && 12.19 km ; Grand Palace && 12.22 km ; Asiatique - The Riverfront && 12.91 km,Ratchadaphisek
5,5,B2 Bangkok Hotel - Srinakarin,"12 Srinakharin 2 (Kornkanok) Rd., Hua Mark, Bangkapi, Bang Kapi, Bangkok, Thailand, 10240",3.0,7.4,The Mall Bang Kapi Pier && 1.22 km ; Bang Kapi Pier && 1.28 km ; The Mall Bangkapi && 1.37 km ; Tawanna Plaza && 1.53 km ; N Mark Plaza && 1.57 km ; Suan Serithai && 1.61 km ; Wat Klang Pier && 1.61 km ; Raan Bai Mai && 1.62 km ; Major Cineplex Bangkapi && 1.63 km ; Wat Sriboonrueng Pier && 1.67 km,Terminal 21 Shopping Mall && 9.27 km ; Central World && 11.41 km ; Jim Thompson && 12.28 km ; Yaowarat Road && 14.65 km ; Wat Saket && 14.9 km ; Khao San Road && 15.86 km ; Asiatique - The Riverfront && 16.22 km ; Wat Pho Temple && 16.42 km ; Wat Phra Kaew && 16.49 km ; Grand Palace && 16.53 km,Bang Kapi
6,6,The Embassy Sathorn,"31 South Sathorn Road Thungmahamek, Sathorn, Bangkok, Thailand,                     ",3.0,7.8,Surapon Gallery && 70 m ; St Andrews International School Sathorn Campus && 300 m ; Red Bull X Park && 320 m ; Ruen-Nuad Massage & Yoga && 440 m ; Saint Joseph Convent School && 490 m ; Wat Kuhasawan && 500 m ; July Tailor && 500 m ; Silom Business Area && 590 m ; Silom Complex && 610 m ; Bangkok CityCity Gallery && 640 m,Jim Thompson && 890 m ; Central World && 2.44 km ; Terminal 21 Shopping Mall && 2.83 km ; Yaowarat Road && 3.6 km ; Asiatique - The Riverfront && 4.37 km ; Wat Saket && 4.77 km ; Wat Pho Temple && 5.51 km ; Wat Phra Kaew && 5.77 km ; Khao San Road && 5.82 km ; Grand Palace && 5.84 km,Sathorn
7,8,Siam Privi Hotel,"49 Pracha Uthit Soi 9, Khwaeng Samsen Nok, Khet Huai Khwang, Din Daeng, Ratchadaphisek, Bangkok, Thailand, 10310",3.0,6.6,The Regent's International School && 610 m ; Tadu Contemporary Art && 950 m ; Mansion 7 Shopping Center && 1.21 km ; Huay Kwang Night Bazaar && 1.34 km ; Huay Kwang Stadium && 1.39 km ; The Street && 1.57 km ; Train Night Market Ratchada && 1.68 km ; Art in Paradise Bangkok Museum && 1.71 km ; Esplanade Shopping Center && 1.75 km ; Ratchada Soi 8 && 1.81 km,Terminal 21 Shopping Mall && 4.87 km ; Central World && 5.68 km ; Jim Thompson && 7.28 km ; Wat Saket && 8.47 km ; Yaowarat Road && 8.73 km ; Khao San Road && 9.26 km ; Wat Phra Kaew && 10.12 km ; Grand Palace && 10.14 km ; Wat Pho Temple && 10.16 km ; Asiatique - The Riverfront && 11.66 km,Ratchadaphisek
8,9,De Botan Hotel,"12 Soi Supapong 3 section 2, Srinakharin Rd., Nong Bon, Prawet, Bangkok 10250, Bang Na, Bangkok, Thailand, 10250",3.0,7.5,Seacon Square && 220 m ; Miss Violet Vintage Shop && 370 m ; Train Night Market Srinakarin && 410 m ; Paradise Park Mall && 910 m ; Paradise Park && 1.44 km ; Jim Thompson Factory Soi 93 Outlet && 2.05 km ; Rama IX Royal Park && 2.06 km ; Pickadaily Bangkok Community Mall && 2.1 km ; Wat Krathum Suea Pla && 3.04 km ; Dhammamongkol Temple && 3.21 km,Terminal 21 Shopping Mall && 10.42 km ; Jim Thompson && 12.83 km ; Central World && 12.88 km ; Asiatique - The Riverfront && 15.51 km ; Yaowarat Road && 15.63 km ; Wat Saket && 16.46 km ; Khao San Road && 17.54 km ; Wat Pho Temple && 17.57 km ; Wat Phra Kaew && 17.78 km ; Grand Palace && 17.84 km,Bang Na
9,10,The Boss Sathorn Hotel,"35/33 Soi Suwansawas/Rama 4 rd., Thungmahamek Sathorn Bangkok, Sathorn, Bangkok, Thailand, 10120",2.5,6.6,Goethe Institut && 560 m ; Bangkok CityCity Gallery && 740 m ; Boxing Stadium && 840 m ; Bhumibol Bridge (Industrial Ring Road Bridge) && 900 m ; Amar the boss && 1.03 km ; Khlong Toei Market && 1.1 km ; Queen Sirikit National Convention Center && 1.19 km ; Surapon Gallery && 1.28 km ; Rajamangala University of Technology Krungthep && 1.38 km ; Lumphini Park && 1.48 km,Jim Thompson && 2.04 km ; Terminal 21 Shopping Mall && 2.32 km ; Central World && 3.06 km ; Yaowarat Road && 4.82 km ; Asiatique - The Riverfront && 5.23 km ; Wat Saket && 5.92 km ; Wat Pho Temple && 6.75 km ; Khao San Road && 6.99 km ; Wat Phra Kaew && 7 km ; Grand Palace && 7.07 km,Sathorn
10,12,Ten Ekamai Suites by Aspira,"33/39 Ekamai Soi 10, Sukhumvit 63 Road., Klongton-Nua, Wattana, Bangkok 10110 Thailand, Sukhumvit, Bangkok, Thailand, 10110",4.0,7.0,"Bangkok Farmer's Market && 570 m ; The Boss Avenue (Tailor) && 730 m ; Herrmann Suits && 850 m ; Enlever Ses Vetements && 870 m ; The Eight, Thonglor && 930 m ; Maze Thonglor && 1.01 km ; J Avenue, Thonglor && 1.07 km ; theCOMMONS && 1.12 km ; Terminal 21 Shopping Mall && 3.36 km ; Central World && 5.82 km",Terminal 21 Shopping Mall && 3.36 km ; Central World && 5.82 km ; Jim Thompson && 6.13 km ; Yaowarat Road && 8.8 km ; Wat Saket && 9.44 km ; Asiatique - The Riverfront && 9.78 km ; Khao San Road && 10.51 km ; Wat Pho Temple && 10.71 km ; Wat Phra Kaew && 10.87 km ; Grand Palace && 10.92 km,Sukhumvit
11,13,48Metro Hotel Bangkok,"Ladprao-wanghin48, Ratchada32, Ratchadaphisek, Bangkok, Thailand, 10230",3.5,7.5,Wat Lat Phrao && 2.05 km ; Chinese House && 2.32 km ; Liab Duan Night Market && 2.46 km ; House of Dhamma && 2.55 km ; The Crystal Shopping Mall && 3.04 km ; Crystal Design Center && 3.14 km ; Crystal Design Center (CDC) && 3.21 km ; Horwang School && 3.23 km ; Fashionlicious Tours && 3.24 km ; Union Mall && 3.29 km,Terminal 21 Shopping Mall && 9.62 km ; Central World && 9.87 km ; Jim Thompson && 11.64 km ; Wat Saket && 11.67 km ; Khao San Road && 12.13 km ; Yaowarat Road && 12.4 km ; Grand Palace && 13.2 km ; Wat Phra Kaew && 13.2 km ; Wat Pho Temple && 13.36 km ; Asiatique - The Riverfront && 15.92 km,Ratchadaphisek
12,14,Sukhumvit 20 Hotel,"64/1 sukhumvit soi 20, Sukhumvit, Bangkok, Thailand, 10110",2.0,7.1,Gallery F-Stop && 120 m ; Damanino Bespoke && 170 m ; Dptailors && 170 m ; De Fabiano Bespoke Tailors && 180 m ; Stylo's Collection && 190 m ; Jass Fashions && 230 m ; Adorable Mine Shop && 250 m ; Samadha Thai Pants && 250 m ; Terminal 21 Shopping Mall && 690 m ; Central World && 3.06 km,Terminal 21 Shopping Mall && 690 m ; Central World && 3.06 km ; Jim Thompson && 3.3 km ; Yaowarat Road && 5.93 km ; Wat Saket && 6.63 km ; Asiatique - The Riverfront && 7.26 km ; Khao San Road && 7.71 km ; Wat Pho Temple && 7.84 km ; Wat Phra Kaew && 8.01 km ; Grand Palace && 8.07 km,Sukhumvit
13,15,14 Resort,"2/1-3 Petkasem Road, Soi 35/1 Bangwaa, Pasicharoen, Bangkok 10160, South Thonburi, Bangkok, Thailand, 10160",3.0,8.1,Wat Paknam Bhasicharoen  Temple && 1.78 km ; The Mall Bangkae && 2.64 km ; Automotive Technology School && 3.45 km ; Tha Tien Market && 4.41 km ; Wat Kok && 4.56 km ; Talad Plu Market && 4.58 km ; Thonburi Vocational School && 4.89 km ; Admire Tailors && 4.93 km ; Siam Technology College && 5.13 km ; Makro Bangbon && 5.25 km,Wat Pho Temple && 7.6 km ; Grand Palace && 7.73 km ; Wat Phra Kaew && 7.74 km ; Asiatique - The Riverfront && 7.75 km ; Khao San Road && 8.81 km ; Yaowarat Road && 8.97 km ; Wat Saket && 9.32 km ; Jim Thompson && 11.14 km ; Central World && 12.18 km ; Terminal 21 Shopping Mall && 14.15 km,South Thonburi
