,lat,long
THE Bedroom Ladprao 101,13.7874874,100.6311393
Nasa Vegas Hotel,13.7429038,100.6018328
Romance Hotel Bangna,13.6759179,100.6430966
Monkey Nap Hostel,13.7271192,100.573109
SC Park Hotel,13.7676704,100.603363
B2 Bangkok Hotel / บีทู กรุงเทพ,13.7537823,100.6444698
The Embassy Sathorn,13.7239603,100.5386707
Siam Privi Residence,13.7736539,100.5813334
De Botan Sri Nakharin,13.6959482,100.6466681
The Boss's Place,13.719926,100.548988
Ten Ekamai Suites by Aspira,13.728872,100.59021
48 Metro Hotel & MaMaison,13.8186275,100.592832
Sukhumvit 20 Hotel,13.7308338,100.5638014
14 Resort,13.7116803,100.4322602
Bangkok 68,13.786273,100.569474
STAY Hotel Bangkok,13.786668,100.5713578
Baron Zotel Bangkok,13.7723678,100.6406919
3Howw Hostel Sukhumvit 21,13.7404703,100.5623979
VX THE FIFTY,13.704677,100.595709
Wongcharearn Mansion,13.7707355,100.6321066
Solitaire Bangkok Sukhumvit 11,13.7451592,100.5574826
PARC Town In Town,13.7719628,100.6113892
Best Comfort,13.7409377,100.5593153
Boss Suites,13.7357687,100.5523175
JellyBean CheQinn Sukhumvit Soi 4 Hostel,13.7401108,100.5535292
Grande Centre Point Sukhumvit 55,13.7318441,100.5821082
Arnoma Grand Bangkok,13.7465361,100.5409268
Pinnacle Lumpinee Park Hotel,13.7237134,100.5483001
At Mind Executive Suites,13.7025944,100.60337
I Residence Hotel Sathorn,13.7201456,100.5386212
Cazz hostel & Coffee Shop,13.712135,100.59571
The Sunrise Residence,13.7269554,100.5392699
Convenient Park Hotel,13.6888666,100.6080856
ArunHaus 39,13.7645206,100.4816997
The Aiyapura Bangkok,13.7245625,100.4953335
Hi Residence Bangkok,13.7565142,100.558599
The Heritage Hotel Bangkok,13.7239723,100.5298923
Centara Grand at Central Plaza Ladprao Bangkok,13.8178547,100.5598752
Studio Sukhumvit 18,13.7304759,100.562687
The BOB Design-Led Hostel,13.7303935,100.5864339
Montien Riverside Hotel,13.6883749,100.5077311
Aspira Hana Residence Thong Lor,13.7387507,100.580686
Clef Hotel,13.6570937,100.6034208
Le Paradis Bangkok,13.8255584,100.5696662
Heritage Hotel Sathorn,13.7175471,100.5256577
H-RESIDENCE SATHORN,13.7162207,100.5254777
Ton Aor Place,13.7896801,100.5784701
The Rabbit hole Hostel,13.6883347,100.6091975
Hope Land Executive Residence Hotel,13.7132144,100.5933996
Studio Residence Bangkok Sukhumvit 71,13.7367233,100.6012662
Praso @ Ratchada 12,13.774813,100.574708
Hotel Nantra De Comfort,13.729921,100.580928
Sawasdee Sukhumvit Inn,13.7254012,100.5801296
Lodge 61 B&B Hotel,13.7216881,100.582944
Regent Ramkhamhaeng 22,13.7542383,100.6134494
My Hotel CMYK@Ratchada,13.7790127,100.5761523
Nantra Ploenchit hotel,13.7468301,100.5491087
Nine Place 40,13.7136071,100.5812817
Marisa Residence,13.6924136,100.6113563
King Royal Garden Inn,13.7187577,100.5211305
Yotaka the hostel,13.771232,100.6217347
BB Boutique Mansion,13.730993,100.56313
Bangkok City Suite Hotel,13.7571278,100.5219118
Blissotel Ratchada,13.7626064,100.5649414
J.S. Tower Service Apartment,13.7005178,100.5956795
Double DD House @Sutthisan Rd.,13.7883084,100.5747808
Chateau de Sukhumvit,13.6992106,100.5988293
ZEN Rooms Darjelling,13.7349886,100.5622246
Bed By City Hotel,13.7309395,100.5282345
Resort M Bangkok,13.7068304,100.6051939
RATCHADA POINT HOTEL,13.7888999,100.5758999
The Platinum Suite,13.7398045,100.6085084
The Hip Bangkok,13.7762589,100.5713931
ฟอร์ ยู เรสซิเดนส์ (สีลม),13.723918,100.521984
Q Space Residence (คิว สเปซ เรสซิเด้นซ์),13.8000435,100.5704919
Riomonte Residence,13.6967617,100.5108593
Olive Bangkok Hotel,13.687492,100.607172
The Sunreno Serviced Apartment,13.704302,100.505129
"D Varee Xpress Makkasan Hotel, Bangkok",13.7496553,100.5609718
BAANNUENG @ AREE 5,13.780776,100.53967
Royal Express Bangkok Hotel,13.7397389,100.5558309
ROMANCE HOTEL SRINAKARIN,13.6743838,100.6480512
Aravinda Living Home,13.7215585,100.5892553
Dusit International,13.7327407,100.5309014
zleepmotion bangkok,13.720572,100.565694
The Choice Residence,13.6824326,100.4757273
OYO 102 Diamond Residence Silom,13.7248927,100.5245252
Rompo Mansion,13.7177702,100.5654014
Krongthong Mansion (Onnut 21),13.7100125,100.6129927
Mirth Sathorn Hotel,13.7257321,100.5360483
Studio Sukhumvit 11 by iCheck inn,13.7449327,100.5565353
S Box Sukhumvit Hotel,13.733483,100.566244
White House Asoke Sukhumvit 18,13.735214,100.5626927
Admire Thonburi,13.726046,100.491352
The Heritage Hotels Srinakarin Bangkok,13.6959777,100.6412696
S3 Residence Park,13.763046,100.541006
B2 Bangna Premier Hotel / บีทู บางนา พรีเมียร์ กรุงเทพ,13.6743551,100.6475394
Park 19 Residence,13.7362393,100.5868781
Aspira Hiptique Bangkok,13.7459498,100.5582579
AC Habitat Bangkok,13.7615869,100.6396129
Aim House Bangkok Hotel,13.722242,100.505474
Smore Sala Daeng,13.7273958,100.5364943
De Sky sukhumvit-ekkamai,13.7224832,100.5838952
Livotel Hotel Lat Phrao,13.764962,100.633333
Himalaya Residence,13.7421123,100.567575
Rainforest Guest House & Café,13.7260591,100.5756813
iCheck inn Regency Sukhumvit,13.7295216,100.572017
Marsi Hotel,13.68452,100.613882
Metropole Residence (Previously Parc 39),13.7365357,100.5734968
Nana Tai Mansion Apartments,13.7343513,100.5534498
The Step Sathon,13.7184202,100.5209734
Summit Pavilion Hotel,13.727128,100.658004
Synsiri Ladphrao 130,13.7676731,100.6327308
Ratchada 17 Place,13.7856997,100.570748
napaville,13.7775761,100.5818804
Nantra Retreat and Spa,13.730839,100.582515
Naga Residence,13.717924,100.508676
Swutel Hotel,13.7446373,100.5635164
The Aim Sathorn Hotel,13.719716,100.5484374
My Bed Sathorn,13.717399,100.539652
K79room Hostel,13.707116,100.6005095
@Ratchada 14,13.782079,100.575006
BS Court Residence,13.7220946,100.5366775
Fullrich Residence,13.803376,100.601418
Nice Residence Hotel @Ekamai 14,13.7320444,100.5873827
Atrium Boutique Resort,13.7743455,100.5784476
L.A. Tower,13.785304,100.569734
Solo Express Sukhumvit 81,13.70633,100.6054162
Maverickratchada Hotel,13.7863864,100.5683504
Klassique Sukhumvit,13.7104969,100.5982205
Watana Hotel,13.7865118,100.572701
Diamond Residence Ratchada Hotel,13.7873572,100.576827
The Bedrooms Boutique Hotel,13.7094458,100.6022814
The Atrium Ratchada13,13.781163,100.572205
Witchuwan Apartel,13.762284,100.559792
ลอฟต์ 77,13.7103546,100.6292255
Pietra Bangkok,13.785409,100.574179
Mestyle Place,13.7884004,100.5834249
Ds67 Suites,13.7164115,100.5898117
The Green Bells,13.7437601,100.5901634
Studio Ekamai,13.7176837,100.5880835
iCheck inn Residences Sathorn,13.7008646,100.5388273
Roseate Ratchada,13.7604561,100.5644867
Spb Paradise,13.7870975,100.5767576
Bansabai Hostel,13.8165315,100.6092823
Beat Hotel Bangkok,13.7147144,100.5933477
BB house mini suite hotel,13.7945302,100.6131796
Snooze Hotel Thonglor Bangkok,13.7338553,100.5798719
The Bangkok Cha Cha Suite,13.806378,100.595077
130 Hotel & Residence Bangkok โรงแรม วันเทอร์ตี้ เรสซิเด้นซ์ ซอยลาดพร้าว 130,13.77177,100.632121
OYO 103 Euro Grande,13.738134,100.5668806
Royal Suite Hotel Bangkok,13.7484246,100.5978962
D Day Suite Mengjai,13.770123,100.5802155
JL Bangkok,13.754269,100.611778
Baron Residence Bangkok,13.766405,100.63306
Siamese Studio,13.7580433,100.5699246
Aspira G Sukhumvit 33,13.735545,100.567947
Northgate Ratchayothin,13.829627,100.563298
Aspira Davinci Sukhumvit 31,13.7344242,100.5658764
Nantra Sukhumvit 39,13.7311761,100.5701844
Boss Mansion,13.7131284,100.5848901
Vabua Asotel Bangkok,13.769137,100.632265
Fx Hotel Metrolink Makkasan,13.749674,100.562955
Bangkok Cha-Da,13.7740918,100.5738697
A-One Bangkok Hotel,13.74693,100.586829
Aspira Grand Regency Sukhumvit 22,13.731869,100.564994
iCheck Inn Residence Sukhumvit Soi 2,13.737573,100.5520393
The Bazaar Hotel,13.804786,100.5745138
Veronica Residence,13.7923734,100.5740071
Qiu Hotel Sukhumvit 79,13.7072646,100.6012539
Asoke Residence Sukhumvit by UHG,13.74657,100.561718
All Together Suite,13.7730332,100.5819643
Popcorn Ratchada House,13.768799,100.57442
CK2 HOTEL,13.7845792,100.5637695
Le Bangkok Hotel,13.7084518,100.6193189
Abloom Exclusive Serviced Apartments,13.773409,100.5410663
Miracle Grand Convention Hotel,13.876548,100.575781
The Raweekanlaya Bangkok (ระวีกัลยา),13.767797,100.505057
Metropole Bangkok,13.744195,100.585691
Urbana Langsuan,13.7395088,100.5435228
Siri Sathorn Hotel,13.725508,100.538587
Jasmine Resort Hotel,13.7157426,100.5909668
The Duchess Hotel and Residences,13.738554,100.543089
Al Meroz Hotel Bangkok,13.7460879,100.6037509
AETAS residence,13.7379892,100.5492052
Dream Hotel,13.740581,100.5587
Summit Windmill Golf Residence,13.655667,100.704964
Radisson Suites Bangkok Sukhumvit,13.7440548,100.5576894
Executive Club at Windsor,13.7332641,100.563608
AETAS lumpini,13.724812,100.547257
Well Hotel Bangkok Sukhumvit 20,13.7329714,100.5637938
LiT BANGKOK Residence,13.7479951,100.5295198
S31 Sukhumvit Hotel,13.7332594,100.5660123
Best Western Amaranth Suvarnabhumi,13.6470284,100.7148457
Anantara Sathorn Bangkok Hotel,13.7163463,100.5315898
Grand Mercure Bangkok Asoke Residence,13.741667,100.560834
The Grand Fourwings Convention Hotel,13.7541416,100.6461442
AETAS Bangkok,13.738009,100.549256
Maduzi Hotel,13.7340334,100.5607621
Fraser Suites Sukhumvit,13.7457016,100.5563848
Mövenpick Hotel Sukhumvit 15 Bangkok,13.7425223,100.5584466
Ramada Plaza by Wyndham Bangkok Menam Riverside,13.7080078,100.5056709
The Sukosol Bangkok,13.7579776,100.5362369
Pathumwan Princess Hotel,13.7433574,100.5296122
Amari Watergate Bangkok,13.7508553,100.540066
Grande Centre Point Ploenchit,13.7423364,100.5471061
Prince Suites Residence,13.7541659,100.5142034
