,lat,long
Light Jatujak Hostel,13.8123937,100.5611615
Asoke Suites,13.7357429,100.5619702
Don Mueang Airport Modern Bangkok,13.9250156,100.6000488
Klassique Sukhumvit,13.7104969,100.5982205
Mercure Bangkok Siam,13.746724,100.528938
Sivalai Place,13.7427624,100.4770174
M2 de Bangkok Hotel,13.789487,100.562034
Chevasai Bangkok,13.7083326,100.5012329
Korbua House,13.7615906,100.4999754
DD Hostel @ Victory Monument Bangkok,13.763037,100.543582
Livotel Hotel Lat Phrao,13.764962,100.633333
Bangkok Hub Hostel,13.717636,100.514759
Samran Place,13.754087,100.528937
Siam Privi Residence,13.7736539,100.5813334
Park Hyatt Bangkok,13.743844,100.5471177
The Residence on Thonglor By Uhg,13.7394972,100.5842809
Holiday Inn Express Bangkok Sukhumvit 11,13.7449405,100.5569256
HOMEY-Donmueang Hostel,13.9240511,100.5982959
Sudyod Apartment,13.775652,100.481053
Grand Hyatt Erawan Bangkok,13.7435228,100.5404889
Mariya Boutique Residence At Suvarnabhumi Airport,13.7219382,100.771579
Marvin Suites,13.7184514,100.5266749
Kingston Suites,13.7412827,100.5585223
AREA 69 Don Muang Airport Maison,13.8883621,100.602127
BANGKOK TREE HOUSE,13.680363,100.5851615
Ibis Styles Bangkok Sukhumvit Phra Khanong,13.712501,100.594477
Villa Madame Resort - Adults Only,13.662635,100.60835
STAY Hotel Bangkok,13.786668,100.5713578
Legacy Express,13.7428666,100.5510552
Admiral Suites Bangkok,13.729056,100.565055
Amora NeoLuxe Hotel,13.734022,100.566366
Grandpa's Hostel Bangkok,13.766762,100.484353
Poste 43 Residence,13.727926,100.516413
Happy 3,13.7487559,100.5275341
Bangkok Publishing Residence,13.7565265,100.5072953
1150 Villa Apartment Bangkok,13.6994455,100.5272373
HANU Hostel & Sky Bar,13.7563284,100.4980846
Siamhubbiz,13.7920967,100.5511883
ideal hotel pratunam,13.7518076,100.538359
S Box Sukhumvit Hotel,13.733483,100.566244
I-Residence Hotel Silom,13.7236158,100.5298276
Dynasty Grande Hotel,13.7389435,100.5538763
Paradiso Boutique Suites,13.738572,100.557507
The plimplace 2 (Hotel),13.8248973,100.5687562
Na Banglampoo Hotel,13.762513,100.497867
THA City Loft Hotel,13.7261617,100.5854587
Oriental Heritage Residence (ออเรียนทัล เฮอริเทจ),13.7261452,100.516022
Golden Tulip Mandison Suites,13.7293734,100.5637937
Phohostel,13.7450959,100.4914163
BRB Hostel Bangkok Silom,13.726641,100.53102
41 Suite Bangkok,13.7294884,100.572419
Baan Dinso,13.755243,100.501114
Buddy Boutique Inn,13.7593525,100.4954611
"Marriott Executive Apartments Bangkok, Sukhumvit Thonglor",13.7236101,100.5806597
Baan 89 Hostel,13.755212,100.502884
Praso @ Ratchada 12,13.774813,100.574708
Baan Sukhumvit Inn Soi 18,13.7343104,100.5632173
My Hotel Herrity,13.7319085,100.5683859
Rest Inn Dormitory,13.7611954,100.497114
Silom Avenue Inn Hotel,13.7247401,100.5223064
Sinsuvarn Airport Suite Hotel,13.7204283,100.7371744
iCheck Inn Silom,13.724467,100.521229
Urban Hostel Bangkok,13.732795,100.519103
The Raya Surawong Bangkok Hotel,13.7304,100.5327371
Metro Pratunam Boutique Hotel,13.750614,100.546617
VismaYa Suvarnabhumi Hotel,13.7099882,100.732097
Boulevard Hotel Bangkok Sukhumvit - โรงแรม บูเลอวาร์ด กรุงเทพ สุขุมวิท,13.7419593,100.5546212
Le Platinum Hotel,13.7225769,100.5192448
The Mix Bangkok - Silom,13.7223009,100.5208001
VR Hostel Saphankwai,13.7948136,100.5493973
Aspira Skyy Sukhumvit Soi 1,13.7462842,100.5514884
Take A Nap Hostel,13.7307748,100.5329412
Best Value Inn Nana,13.741152,100.55565
Sukhumvit 20 Hotel,13.7308338,100.5638014
Sathorn Saint View Serviced Apartments,13.7160866,100.5233731
New Central Guest House,13.7587145,100.4995186
Bluefin Guesthouse,13.7859117,100.5134527
Season Place,13.7284249,100.4776736
Baan Glang Soi,13.719171,100.517089
Arcadia Suites Phloenchit Sukhumvit Bangkok by Compass Hospitality,13.746418,100.54953
The connex asoke,13.7357222,100.5608536
"Oberry Resort (company Oberry Property Co., Ltd.).",13.733392,100.58582
@home Phetkasem แอ้ดโฮม เพชรเกษม57,13.7073243,100.3925015
Olive Bangkok Hotel,13.687492,100.607172
Le Méridien Bangkok,13.7300836,100.5302398
S33 Compact Sukhumvit Hotel,13.734943,100.567415
Grand Howard Hotel,13.7020315,100.5160195
U431 Chaengwattana,13.897676,100.552856
The Cozi Inn,13.7540513,100.5398581
Citadines Sukhumvit 11 Bangkok,13.7439329,100.5567854
Town in Town Hotel,13.773274,100.608351
Kokotel Bangkok Surawong,13.727561,100.524491
At Smile House,13.755965,100.497959
The Ninth Place Serviced Residence,13.688,100.646
Prince Suites Residence,13.7541659,100.5142034
The Moonite Boutique Hotel,13.74767,100.548452
T-Boutique Hostel (Hua Lamphong),13.738288,100.520589
Sabai-Sabai at Sukhumvit Hotel,13.7323173,100.5985427
Cubic Pratunam,13.7545916,100.5360635
Eight Ville,13.7348782,100.555821
White House Asoke Sukhumvit 18,13.735214,100.5626927
The Ivory Bangkok Suvarnabhumi,13.722027,100.729919
Montien Hotel Bangkok,13.730542,100.5310982
Asoke Residence Sukhumvit by UHG,13.74657,100.561718
Chiva Bangkok Hotel,13.7509781,100.5834699
PAKDEE BED AND BREAKFAST,13.7516139,100.5369528
Hotel Clover Asoke,13.7344268,100.5610914
King Park Avenue Hotel,13.693803,100.6444051
Royal View Resort Rangnam,13.761113,100.539815
Taipan Hotel,13.7385631,100.5626719
โรงแรม cozy@9 hotel and kitchen,13.7537896,100.5700972
Vera Nidhra Bed & Breakfast,13.7222179,100.5033258
Ok Home Airport,13.7145096,100.7404314
Brunch Makers,13.7600907,100.4984285
Nine Design Place,13.74826,100.527223
D Varee Xpress Pula Silom,13.7291389,100.5348248
The Best Bangkok House Hotel,13.7553069,100.538283
Skyy Hotel,13.7464245,100.5516739
Hotel Swissôtel Bangkok Ratchada,13.7766233,100.5741524
Ricco suvarnabhumi,13.7462061,100.6749093
Centra by Centara Government Complex Hotel & Convention Centre Chaeng Watthana,13.8837325,100.5647211
Mercure Bangkok Sukhumvit 11,13.7432155,100.5566996
Marvel Hotel Bangkok,13.7297756,100.5647972
Ibis Bangkok Riverside,13.717634,100.5093616
โรงแรม Q Residences,13.7881673,100.4715666
Gulliver,13.742314,100.554346
S.M. Grande Residence,13.7386571,100.553178
THE PATRA HOTEL - RAMA9,13.7464436,100.6085675
Don Mueang International Airport,13.9132602,100.6041987
X9Hostel,13.7546188,100.5662072
Viva Garden Serviced Residence,13.6984534,100.604404
The M Pool Villas Bangkok - BTS Ekkamai,13.723053,100.5885152
Aspira Hana Residence Thong Lor,13.7387507,100.580686
A'hostel Bangkok,13.789408,100.546267
The Okura Prestige Bangkok,13.7429457,100.5476514
The Platinum Suite,13.7398045,100.6085084
Citadines Sukhumvit 16 Bangkok,13.7335686,100.5608879
14th Place,13.6733854,100.4549094
Airy Resort,13.7271577,100.7356363
"Zenith Sukhumvit Hotel, Bangkok",13.7449072,100.5531504
Oasis Inn Bangkok,13.745158,100.552432
Naturbliss Boutique Residence,13.844144,100.652607
Lamphu Tree House,13.7603562,100.5025532
V Varee Bangkok,13.7651683,100.4959871
ON8 Hotel Sukhumvit Nana by Compass Hospitality,13.740072,100.5558275
Wongcharearn Mansion,13.7707355,100.6321066
Qiu Hotel Sukhumvit 79,13.7072646,100.6012539
amenity@22,13.7256415,100.5648622
Karnmanee Palace Hotel,13.7913062,100.5420536
P Park Residence Suvarnabhumi,13.7369578,100.6429127
Buff hostel,13.789401,100.548631
Baan Tipa House Wanglang,13.7545451,100.4861766
Mode Sathorn Hotel Bangkok,13.719638,100.521717
Errday Guesthouse,13.7247042,100.5632948
Riomonte Residence,13.6967617,100.5108593
The Sunrise Residence,13.7269554,100.5392699
Bangkok Bed and Bike,13.747408,100.497438
Tongpoon Hotel,13.746631,100.521099
The Silver Palm Rama 9 - Bangkok,13.739788,100.6477151
Holiday Inn Express Bangkok Siam,13.7470801,100.5277296
Justbeds,13.7254855,100.5181355
Tarawish Hotel,13.7557752,100.5366368
Crowne Plaza Bangkok Lumpini Park,13.729777,100.53512
W Station hotel,13.7202729,100.4932972
Al Meroz Hotel Bangkok,13.7460879,100.6037509
Thanapa Mansion,13.8856261,100.6078155
Boss Mansion,13.7131284,100.5848901
Aspira Davinci Sukhumvit 31,13.7344242,100.5658764
Green House Hotel,13.7599468,100.4971183
THE Bedroom Ladprao 101,13.7874874,100.6311393
Convenient Park Hotel,13.6888666,100.6080856
Novotel Bangkok Sukhumvit 20,13.7315751,100.5643932
T3 Residence,13.807781,100.6090737
Aim House Bangkok Hotel,13.722242,100.505474
Yor Yak Hostel,13.7207445,100.496137
Kim​ Korner Hotel,13.753492,100.5383138
Parinda Hotel,13.735741,100.5518522
The Travellers Hotel,13.7972595,100.5741735
Parvena Hotel,13.7177689,100.5390798
Jazzotel,13.7680851,100.5974507
Grande Centre Point Sukhumvit 55,13.7318441,100.5821082
Royal President Bangkok,13.741516,100.558547
โรงแรมริชมอนด์,13.8615486,100.5065934
Boone Place,13.7504659,100.5205826
China Guest Inn,13.725905,100.52525
Witchuwan Apartel,13.762284,100.559792
Windsor Suites Hotel Bangkok,13.7332553,100.5637169
Poohsen,13.6207086,100.6297264
Centre Point Hotel Pratunam,13.7519154,100.5372288
Well Hotel Bangkok Sukhumvit 20,13.7329714,100.5637938
Sleep Dee Hostel,13.7120423,100.5937791
Asok Montri Hostel,13.7388853,100.5602671
Ad Lib Bangkok,13.7452529,100.5522899
petit hotel guest house hostel bangkok,13.7255386,100.5103953
Baiyoke Suite Hotel,13.753043,100.539507
Resort M Bangkok,13.7068304,100.6051939
Majestic Suites Hotel Nana Bangkok.,13.741875,100.553194
ArunHaus 39,13.7645206,100.4816997
Ibis Bangkok Impact,13.9161123,100.5516239
Pannee Lodge,13.759404,100.495548
Room at Vipa,13.841548,100.559855
The Victory Residences Hotel,13.760135,100.53702
Tara Lake,13.7873795,100.7046123
DMK Don Mueang Airport Hostel,13.9232683,100.5967319
Ploykhumthong Boutique Resort,13.716754,100.7641792
Amaranta Hotel,13.7789193,100.5762781
Cazz hostel & Coffee Shop,13.712135,100.59571
The Rajata Hotel,13.7640509,100.5000704
